Premature end of JPEG file
Premature end of JPEG file
Premature end of JPEG file
Loading dataloaders..
      Image      Total          P          R        mAP
         16       5000      0.594      0.537      0.524      0.451s
         32       5000       0.62      0.568      0.553      0.156s
         48       5000      0.621      0.587      0.571       0.16s
         64       5000      0.612      0.583      0.564       0.15s
         80       5000      0.614      0.594      0.572       0.16s
         96       5000       0.61      0.592      0.573      0.165s
        112       5000      0.611      0.593      0.574      0.157s
        128       5000      0.608      0.593      0.574      0.152s
        144       5000        0.6      0.587      0.568      0.176s
        160       5000      0.595      0.581      0.564       0.15s
        176       5000      0.588       0.58      0.562      0.169s
        192       5000      0.597       0.59      0.572       0.15s
        208       5000       0.59      0.581      0.563      0.144s
        224       5000       0.59      0.581      0.563      0.198s
        240       5000       0.59       0.58      0.563      0.167s
        256       5000      0.595      0.584      0.567       0.16s
        272       5000      0.601      0.589      0.572      0.148s
        288       5000      0.604      0.597      0.579      0.153s
        304       5000       0.61      0.601      0.584      0.163s
        320       5000      0.599       0.59      0.573      0.166s
        336       5000      0.597      0.587      0.571      0.166s
        352       5000      0.596      0.585      0.569      0.185s
        368       5000      0.598      0.584      0.569      0.162s
        384       5000      0.602      0.589      0.574      0.156s
        400       5000      0.601      0.589      0.574      0.159s
        416       5000      0.597      0.586      0.571      0.186s
        432       5000      0.595      0.584      0.569      0.159s
        448       5000      0.595      0.584      0.568      0.178s
        464       5000      0.592      0.582      0.566      0.167s
        480       5000      0.589      0.578      0.562       0.16s
        496       5000      0.587      0.577       0.56      0.168s
        512       5000      0.585      0.575      0.558      0.167s
        528       5000      0.582      0.571      0.555      0.161s
        544       5000      0.584      0.574      0.558      0.151s
        560       5000      0.584      0.575      0.559      0.178s
        576       5000      0.588      0.578      0.562      0.176s
        592       5000      0.591       0.58      0.564      0.176s
        608       5000      0.593      0.582      0.565      0.193s
        624       5000      0.593      0.582      0.565      0.181s
        640       5000       0.59      0.579      0.562       0.17s
        656       5000      0.588      0.576       0.56      0.177s
        672       5000      0.588      0.577       0.56       0.18s
        688       5000       0.59      0.578      0.561      0.143s
        704       5000      0.589      0.578      0.561      0.154s
        720       5000      0.589      0.578      0.562      0.179s
        736       5000      0.589      0.577       0.56      0.175s
        752       5000      0.591      0.579      0.562       0.16s
        768       5000      0.592      0.581      0.564      0.173s
        784       5000      0.591      0.579      0.562      0.166s
        800       5000      0.591      0.579      0.562      0.173s
        816       5000      0.592       0.58      0.563      0.188s
        832       5000      0.591      0.579      0.562      0.167s
        848       5000      0.591      0.579      0.562      0.135s
        864       5000       0.59      0.578      0.561      0.174s
        880       5000      0.591      0.578      0.561      0.185s
        896       5000      0.589      0.577       0.56      0.184s
        912       5000      0.587      0.576      0.559       0.19s
        928       5000      0.587      0.576      0.559      0.194s
        944       5000      0.586      0.575      0.558      0.181s
        960       5000      0.586      0.575      0.558      0.166s
        976       5000      0.586      0.575      0.557      0.166s
        992       5000      0.586      0.574      0.557      0.184s
       1008       5000      0.586      0.574      0.556      0.176s
       1024       5000      0.586      0.575      0.557      0.162s
       1040       5000      0.587      0.575      0.558      0.192s
       1056       5000      0.586      0.576      0.558       0.15s
       1072       5000      0.586      0.576      0.558      0.148s
       1088       5000      0.586      0.576      0.558      0.179s
       1104       5000      0.586      0.576      0.559      0.177s
       1120       5000      0.587      0.578       0.56      0.191s
       1136       5000      0.588      0.578      0.561      0.172s
       1152       5000      0.588      0.578       0.56      0.183s
       1168       5000      0.586      0.577      0.559      0.174s
       1184       5000      0.585      0.575      0.557      0.179s
       1200       5000      0.585      0.575      0.557      0.181s
       1216       5000      0.585      0.575      0.557      0.172s
       1232       5000      0.584      0.574      0.557      0.184s
       1248       5000      0.585      0.574      0.556      0.181s
       1264       5000      0.585      0.574      0.556      0.174s
       1280       5000      0.583      0.572      0.555      0.197s
       1296       5000      0.584      0.573      0.555      0.172s
       1312       5000      0.585      0.574      0.556      0.177s
       1328       5000      0.584      0.574      0.556      0.195s
       1344       5000      0.585      0.575      0.556      0.198s
       1360       5000      0.585      0.576      0.558      0.193s
       1376       5000      0.585      0.576      0.558      0.168s
       1392       5000      0.585      0.576      0.558      0.188s
       1408       5000      0.586      0.577      0.559      0.153s
       1424       5000      0.585      0.576      0.558      0.169s
       1440       5000      0.586      0.577      0.559      0.143s
       1456       5000      0.586      0.578       0.56      0.193s
       1472       5000      0.586      0.578       0.56      0.172s
       1488       5000      0.585      0.577      0.559      0.167s
       1504       5000      0.586      0.577      0.559      0.171s
       1520       5000      0.585      0.577      0.559      0.189s
       1536       5000      0.585      0.577      0.559      0.176s
       1552       5000      0.584      0.576      0.558      0.162s
       1568       5000      0.584      0.575      0.557      0.143s
       1584       5000      0.585      0.576      0.559      0.154s
       1600       5000      0.586      0.577      0.559      0.163s
       1616       5000      0.586      0.577      0.559      0.168s
       1632       5000      0.585      0.577      0.559      0.163s
       1648       5000      0.586      0.578      0.561      0.146s
       1664       5000      0.586      0.578      0.561      0.175s
       1680       5000      0.586      0.578      0.561      0.158s
       1696       5000      0.586      0.578       0.56      0.174s
       1712       5000      0.586      0.577       0.56      0.214s
       1728       5000      0.586      0.577       0.56      0.144s
       1744       5000      0.586      0.577       0.56      0.171s
       1760       5000      0.586      0.578       0.56      0.171s
       1776       5000      0.587      0.578       0.56      0.167s
       1792       5000      0.586      0.577       0.56      0.172s
       1808       5000      0.586      0.577       0.56      0.171s
       1824       5000      0.585      0.577      0.559      0.153s
       1840       5000      0.584      0.575      0.557      0.183s
       1856       5000      0.584      0.575      0.557      0.177s
       1872       5000      0.584      0.576      0.558      0.176s
       1888       5000      0.584      0.575      0.557      0.169s
       1904       5000      0.584      0.576      0.558      0.152s
       1920       5000      0.584      0.576      0.558      0.188s
       1936       5000      0.584      0.575      0.557      0.168s
       1952       5000      0.583      0.574      0.556      0.186s
       1968       5000      0.582      0.574      0.556       0.17s
       1984       5000      0.582      0.573      0.556       0.18s
       2000       5000      0.582      0.573      0.556      0.161s
       2016       5000      0.582      0.573      0.556      0.161s
       2032       5000      0.581      0.573      0.555      0.217s
       2048       5000      0.581      0.572      0.554      0.155s
       2064       5000      0.581      0.573      0.555      0.155s
       2080       5000       0.58      0.572      0.554      0.187s
       2096       5000      0.581      0.573      0.555      0.152s
       2112       5000      0.581      0.573      0.555      0.182s
       2128       5000      0.581      0.572      0.554      0.184s
       2144       5000      0.581      0.572      0.555      0.172s
       2160       5000      0.582      0.573      0.555      0.174s
       2176       5000      0.582      0.573      0.556      0.187s
       2192       5000      0.582      0.573      0.555      0.192s
       2208       5000       0.58      0.572      0.554      0.183s
       2224       5000      0.581      0.572      0.554      0.173s
       2240       5000       0.58      0.572      0.554        0.2s
       2256       5000       0.58      0.572      0.554       0.16s
       2272       5000       0.58      0.571      0.553      0.177s
       2288       5000      0.579      0.571      0.553      0.174s
       2304       5000      0.579      0.571      0.553      0.162s
