Premature end of JPEG file
Premature end of JPEG file
Premature end of JPEG file
Loading dataloaders..
      Image      Total          P          R        mAP
       2320       5000      0.579       0.57      0.552      0.183s
       2336       5000      0.579       0.57      0.552      0.177s
       2352       5000      0.579       0.57      0.552      0.195s
       2368       5000       0.58      0.571      0.553      0.182s
       2384       5000       0.58      0.571      0.553      0.168s
       2400       5000       0.58      0.571      0.553      0.184s
       2416       5000       0.58      0.571      0.553      0.201s
       2432       5000       0.58      0.571      0.553      0.169s
       2448       5000       0.58      0.571      0.553      0.187s
       2464       5000       0.58      0.572      0.554      0.167s
       2480       5000       0.58      0.572      0.554      0.182s
       2496       5000       0.58      0.572      0.554      0.168s
       2512       5000       0.58      0.572      0.554      0.215s
       2528       5000       0.58      0.572      0.554      0.169s
       2544       5000      0.579      0.571      0.553      0.178s
       2560       5000       0.58      0.571      0.553      0.168s
       2576       5000       0.58      0.572      0.553      0.156s
       2592       5000       0.58      0.572      0.553       0.16s
       2608       5000      0.579      0.571      0.553      0.174s
       2624       5000      0.579      0.571      0.553      0.205s
       2640       5000      0.579      0.572      0.554       0.17s
       2656       5000      0.579      0.571      0.553      0.157s
       2672       5000      0.579      0.571      0.553      0.186s
       2688       5000      0.579      0.572      0.553      0.176s
       2704       5000      0.578      0.571      0.553      0.204s
       2720       5000      0.578      0.571      0.553      0.168s
       2736       5000      0.578      0.571      0.553      0.156s
       2752       5000      0.578      0.571      0.552      0.194s
       2768       5000      0.578      0.571      0.553      0.181s
       2784       5000      0.578      0.571      0.552      0.198s
       2800       5000      0.578      0.571      0.553      0.174s
       2816       5000      0.577      0.571      0.552      0.181s
       2832       5000      0.577       0.57      0.552      0.162s
       2848       5000      0.577       0.57      0.552      0.176s
       2864       5000      0.577       0.57      0.552      0.154s
       2880       5000      0.577       0.57      0.551      0.194s
       2896       5000      0.577       0.57      0.551      0.178s
       2912       5000      0.576       0.57      0.551      0.181s
       2928       5000      0.576       0.57      0.551       0.17s
       2944       5000      0.576       0.57      0.551      0.167s
       2960       5000      0.577       0.57      0.552      0.169s
       2976       5000      0.576       0.57      0.552      0.161s
       2992       5000      0.576       0.57      0.551      0.181s
       3008       5000      0.575      0.569      0.551      0.186s
       3024       5000      0.576      0.569      0.551      0.193s
       3040       5000      0.575      0.569       0.55       0.16s
       3056       5000      0.575      0.569       0.55      0.174s
       3072       5000      0.575      0.568       0.55      0.173s
       3088       5000      0.575      0.568       0.55      0.182s
       3104       5000      0.575      0.569       0.55      0.166s
       3120       5000      0.575      0.569       0.55      0.164s
       3136       5000      0.575      0.569       0.55      0.153s
       3152       5000      0.575      0.569       0.55      0.172s
       3168       5000      0.575      0.569       0.55      0.162s
       3184       5000      0.576       0.57      0.551      0.146s
       3200       5000      0.576       0.57      0.551       0.16s
       3216       5000      0.576       0.57      0.551      0.163s
       3232       5000      0.575       0.57       0.55       0.21s
       3248       5000      0.575      0.569       0.55      0.185s
       3264       5000      0.575      0.569       0.55      0.203s
       3280       5000      0.575      0.569       0.55      0.171s
       3296       5000      0.575      0.569       0.55      0.187s
       3312       5000      0.575      0.569       0.55      0.178s
       3328       5000      0.575      0.569       0.55      0.173s
       3344       5000      0.575      0.569       0.55      0.176s
       3360       5000      0.575      0.569      0.549      0.173s
       3376       5000      0.575      0.569       0.55      0.182s
       3392       5000      0.575      0.569       0.55      0.181s
       3408       5000      0.575      0.569       0.55      0.187s
       3424       5000      0.575      0.569       0.55      0.161s
       3440       5000      0.576       0.57      0.551      0.164s
       3456       5000      0.575       0.57       0.55      0.203s
       3472       5000      0.575       0.57       0.55      0.221s
       3488       5000      0.575      0.569       0.55      0.187s
       3504       5000      0.574      0.569      0.549       0.18s
       3520       5000      0.575      0.569      0.549       0.15s
       3536       5000      0.574      0.569      0.549      0.185s
       3552       5000      0.574      0.569      0.549      0.157s
       3568       5000      0.574      0.569      0.549      0.167s
       3584       5000      0.574      0.569      0.549      0.192s
       3600       5000      0.574      0.568      0.549      0.161s
       3616       5000      0.574      0.569      0.549      0.184s
       3632       5000      0.575      0.569       0.55      0.194s
       3648       5000      0.575      0.569       0.55      0.174s
       3664       5000      0.575      0.569       0.55        0.2s
       3680       5000      0.575      0.569       0.55      0.153s
       3696       5000      0.575      0.569       0.55      0.195s
       3712       5000      0.575      0.569       0.55       0.19s
       3728       5000      0.575      0.569       0.55      0.187s
       3744       5000      0.575      0.569       0.55      0.211s
       3760       5000      0.575      0.568      0.549      0.187s
       3776       5000      0.575      0.569       0.55      0.181s
       3792       5000      0.575      0.569       0.55      0.159s
       3808       5000      0.575      0.569       0.55       0.16s
       3824       5000      0.575      0.568      0.549      0.163s
       3840       5000      0.575      0.569       0.55      0.173s
       3856       5000      0.575      0.569       0.55      0.185s
       3872       5000      0.575      0.569       0.55      0.165s
       3888       5000      0.574      0.568      0.549      0.208s
       3904       5000      0.574      0.568      0.549      0.202s
       3920       5000      0.574      0.568      0.549       0.16s
       3936       5000      0.574      0.568      0.549      0.186s
       3952       5000      0.574      0.568      0.549      0.171s
       3968       5000      0.574      0.568      0.549      0.172s
       3984       5000      0.574      0.567      0.548      0.172s
       4000       5000      0.574      0.567      0.548      0.179s
       4016       5000      0.574      0.567      0.548      0.179s
       4032       5000      0.574      0.568      0.549      0.201s
       4048       5000      0.574      0.567      0.548      0.163s
       4064       5000      0.574      0.567      0.548      0.201s
       4080       5000      0.574      0.567      0.548      0.184s
       4096       5000      0.574      0.567      0.548      0.186s
       4112       5000      0.574      0.567      0.548      0.175s
       4128       5000      0.574      0.567      0.548      0.174s
       4144       5000      0.573      0.566      0.547      0.183s
       4160       5000      0.573      0.566      0.548      0.145s
       4176       5000      0.573      0.566      0.547      0.199s
       4192       5000      0.573      0.566      0.547      0.183s
       4208       5000      0.573      0.566      0.547      0.166s
       4224       5000      0.572      0.565      0.547      0.216s
       4240       5000      0.573      0.566      0.547      0.176s
       4256       5000      0.573      0.566      0.547      0.184s
       4272       5000      0.573      0.566      0.547      0.177s
       4288       5000      0.573      0.566      0.548      0.167s
       4304       5000      0.574      0.567      0.548       0.19s
       4320       5000      0.574      0.567      0.548      0.182s
       4336       5000      0.574      0.567      0.548      0.166s
       4352       5000      0.574      0.567      0.549      0.184s
       4368       5000      0.574      0.567      0.548      0.205s
       4384       5000      0.574      0.568      0.549      0.195s
       4400       5000      0.574      0.567      0.548      0.178s
       4416       5000      0.574      0.567      0.549      0.151s
       4432       5000      0.574      0.567      0.548      0.172s
       4448       5000      0.574      0.567      0.548      0.174s
       4464       5000      0.574      0.567      0.548      0.182s
       4480       5000      0.574      0.567      0.548      0.191s
       4496       5000      0.574      0.567      0.548      0.188s
       4512       5000      0.574      0.567      0.548      0.206s
       4528       5000      0.574      0.567      0.548      0.231s
       4544       5000      0.574      0.567      0.548      0.171s
       4560       5000      0.574      0.567      0.548      0.177s
       4576       5000      0.574      0.567      0.548      0.179s
       4592       5000      0.574      0.567      0.548      0.207s
       4608       5000      0.574      0.567      0.548      0.155s
       4624       5000      0.574      0.567      0.548      0.174s
       4640       5000      0.575      0.567      0.548      0.183s
       4656       5000      0.574      0.567      0.548      0.218s
       4672       5000      0.574      0.567      0.548      0.172s
       4688       5000      0.574      0.567      0.548      0.187s
       4704       5000      0.574      0.567      0.548      0.181s
       4720       5000      0.574      0.567      0.548      0.169s
       4736       5000      0.574      0.567      0.548      0.181s
       4752       5000      0.574      0.567      0.548       0.18s
       4768       5000      0.574      0.567      0.548      0.179s
       4784       5000      0.574      0.566      0.548      0.176s
       4800       5000      0.574      0.567      0.548       0.16s
       4816       5000      0.574      0.567      0.548      0.165s
       4832       5000      0.574      0.567      0.548      0.179s
       4848       5000      0.574      0.567      0.548      0.187s
       4864       5000      0.575      0.568      0.549      0.182s
       4880       5000      0.575      0.568      0.549      0.159s
       4896       5000      0.575      0.568      0.549      0.221s
       4912       5000      0.574      0.567      0.549      0.206s
       4928       5000      0.574      0.567      0.549      0.198s
       4944       5000      0.575      0.567      0.549      0.168s
       4960       5000      0.575      0.568      0.549      0.198s
       4976       5000      0.574      0.567      0.549      0.195s
       4992       5000      0.574      0.567      0.549      0.204s
       5000       5000      0.574      0.567      0.549       0.16s
Just pruned with prune_perc=35.0, now has 34.838996739083534% zeros
Retraining at prune percentage 35.0..
   Epoch       Batch        xy        wh      conf       cls     total  nTargets      time
     0/2      0/7328     0.138     0.122     0.879    0.0486      1.19        76      1.06
     0/2      1/7328     0.138     0.143      1.19     0.107      1.58       141     0.961
     0/2      2/7328     0.136     0.158      1.45     0.112      1.86       132     0.948
     0/2      3/7328     0.128     0.143      1.38     0.107      1.76        87     0.971
     0/2      4/7328     0.128     0.148      1.34     0.107      1.72       105     0.925
     0/2      5/7328     0.125     0.151       1.4     0.108      1.78       143      0.97
     0/2      6/7328     0.127     0.157      1.37     0.119      1.78       106     0.911
     0/2      7/7328     0.127     0.152      1.37     0.114      1.76        85      1.19
     0/2      8/7328     0.126     0.149      1.37     0.113      1.76        88     0.882
     0/2      9/7328     0.126     0.153      1.38     0.136      1.79       123     0.947
     0/2     10/7328     0.125     0.151      1.39     0.141      1.81       109     0.954
     0/2     11/7328     0.123     0.149      1.36     0.139      1.77       104     0.871
     0/2     12/7328     0.122     0.151      1.35     0.136      1.76       111     0.901
     0/2     13/7328     0.122     0.151      1.33     0.145      1.74        69     0.896
     0/2     14/7328     0.123     0.152      1.37     0.154       1.8       148     0.891
     0/2     15/7328     0.123      0.15      1.38     0.152      1.81       121     0.903
     0/2     16/7328     0.122     0.154      1.38     0.158      1.82       142     0.821
     0/2     17/7328     0.122     0.154      1.38     0.159      1.82       116     0.928
     0/2     18/7328     0.121     0.157      1.38      0.16      1.81       145     0.938
     0/2     19/7328      0.12     0.155      1.36     0.158      1.79        96     0.842
     0/2     20/7328     0.119     0.155       1.4     0.157      1.84       156     0.885
     0/2     21/7328     0.119     0.153      1.38     0.158      1.81       101     0.992
     0/2     22/7328     0.119     0.155       1.4     0.161      1.84       157     0.942
     0/2     23/7328      0.12     0.156      1.45      0.16      1.89       191     0.861
     0/2     24/7328     0.119     0.156      1.49     0.156      1.92       193      1.01
     0/2     25/7328     0.118     0.155      1.48     0.154      1.91       103     0.889
     0/2     26/7328     0.118     0.155      1.48     0.155      1.91       131      0.93
     0/2     27/7328     0.118     0.153      1.48     0.159      1.91        94     0.962
     0/2     28/7328     0.119     0.153      1.48     0.158      1.91        90     0.947
     0/2     29/7328     0.118     0.153      1.48     0.155       1.9       160     0.896
     0/2     30/7328     0.118     0.152      1.49     0.158      1.91       118     0.924
     0/2     31/7328     0.118     0.152      1.51     0.162      1.94       179     0.994
     0/2     32/7328     0.118     0.152       1.5     0.164      1.94       135     0.825
     0/2     33/7328     0.118     0.153       1.5     0.166      1.94       140      0.85
     0/2     34/7328     0.119     0.152       1.5     0.166      1.94       115     0.947
     0/2     35/7328     0.118     0.152      1.49     0.164      1.92       117     0.883
     0/2     36/7328     0.119     0.152       1.5     0.167      1.94       150     0.967
     0/2     37/7328     0.119     0.152       1.5     0.168      1.94       111     0.948
     0/2     38/7328     0.119      0.15      1.49     0.167      1.93        92     0.914
     0/2     39/7328     0.119     0.151      1.49     0.169      1.93        97     0.904
     0/2     40/7328     0.119     0.151      1.48     0.169      1.92       105     0.904
     0/2     41/7328     0.119      0.15      1.48     0.169      1.92       108     0.892
     0/2     42/7328     0.119      0.15      1.48     0.167      1.92       109     0.971
     0/2     43/7328     0.119      0.15      1.48     0.166      1.91       143     0.875
     0/2     44/7328     0.118      0.15      1.48     0.164      1.91        95     0.911
     0/2     45/7328     0.119     0.152      1.51     0.167      1.94       185      0.94
     0/2     46/7328     0.119     0.152      1.52     0.167      1.96       185     0.838
     0/2     47/7328     0.119     0.153      1.51     0.166      1.95       111     0.913
     0/2     48/7328     0.119     0.152      1.51     0.166      1.95       135     0.889
     0/2     49/7328     0.119     0.151      1.52     0.168      1.96        91     0.912
     0/2     50/7328     0.119     0.151      1.52     0.167      1.96       126     0.915
     0/2     51/7328     0.119     0.151      1.53      0.17      1.97       156     0.869
     0/2     52/7328      0.12     0.151      1.53      0.17      1.97        91     0.941
     0/2     53/7328      0.12     0.151      1.53     0.168      1.97       117     0.885
     0/2     54/7328     0.119     0.151      1.53     0.169      1.97       122      0.96
     0/2     55/7328     0.119     0.151      1.52     0.168      1.96        96     0.871
     0/2     56/7328     0.119     0.151      1.52     0.169      1.96       121     0.928
     0/2     57/7328     0.119     0.151      1.52     0.169      1.96       137     0.859
     0/2     58/7328     0.119     0.152      1.51      0.17      1.95       116     0.882
     0/2     59/7328     0.119     0.152      1.51     0.169      1.95        97     0.954
     0/2     60/7328     0.119     0.152       1.5     0.169      1.94       112     0.948
     0/2     61/7328     0.119     0.152       1.5     0.169      1.94       100     0.894
     0/2     62/7328     0.119     0.151       1.5     0.167      1.94       111     0.929
     0/2     63/7328     0.119     0.151      1.49     0.167      1.93       117      1.23
     0/2     64/7328     0.119     0.151      1.49     0.167      1.93        91     0.898
     0/2     65/7328     0.119      0.15       1.5     0.167      1.94        97     0.892
     0/2     66/7328     0.119      0.15       1.5     0.168      1.94       146     0.837
     0/2     67/7328     0.119      0.15       1.5     0.169      1.94        74      0.93
     0/2     68/7328     0.119     0.149       1.5     0.168      1.93        89     0.861
     0/2     69/7328      0.12      0.15       1.5     0.168      1.93        92     0.929
     0/2     70/7328      0.12     0.151       1.5     0.167      1.94       172     0.813
     0/2     71/7328      0.12      0.15       1.5     0.167      1.94       100     0.898
     0/2     72/7328     0.119     0.151       1.5     0.166      1.94       128     0.903
     0/2     73/7328     0.119     0.151       1.5     0.166      1.93        94      0.83
     0/2     74/7328     0.119     0.151      1.49     0.167      1.93       102     0.856
     0/2     75/7328     0.119     0.151      1.49     0.169      1.93        95     0.846
     0/2     76/7328     0.119     0.151       1.5     0.169      1.93       146     0.869
     0/2     77/7328     0.119      0.15      1.49     0.169      1.93       103     0.862
     0/2     78/7328     0.119      0.15       1.5     0.169      1.94       151     0.944
     0/2     79/7328     0.119      0.15       1.5     0.172      1.94       118     0.913
     0/2     80/7328     0.119      0.15       1.5      0.17      1.94       134     0.891
     0/2     81/7328     0.119      0.15       1.5     0.172      1.94       104     0.835
     0/2     82/7328     0.119      0.15       1.5     0.173      1.94       133     0.927
     0/2     83/7328     0.119      0.15       1.5     0.174      1.95       138     0.855
     0/2     84/7328     0.119      0.15       1.5     0.175      1.95       119     0.953
     0/2     85/7328     0.119      0.15      1.51     0.176      1.95       125      0.82
     0/2     86/7328     0.119     0.151       1.5     0.177      1.95       142     0.849
     0/2     87/7328     0.119      0.15       1.5     0.176      1.95        81     0.951
     0/2     88/7328     0.119      0.15       1.5     0.176      1.94       101     0.827
     0/2     89/7328     0.119      0.15      1.49     0.176      1.94       120     0.847
     0/2     90/7328     0.119      0.15      1.49     0.175      1.93       101     0.947
     0/2     91/7328     0.119      0.15      1.49     0.176      1.94       142      0.86
     0/2     92/7328     0.119      0.15       1.5     0.176      1.94       113     0.912
     0/2     93/7328     0.119      0.15      1.49     0.176      1.94        85     0.961
     0/2     94/7328     0.119     0.149      1.49     0.175      1.93       115     0.914
     0/2     95/7328     0.118     0.149      1.49     0.176      1.93       110     0.869
     0/2     96/7328     0.119     0.149      1.48     0.177      1.93       128     0.981
     0/2     97/7328     0.118     0.149      1.48     0.176      1.92       119     0.961
     0/2     98/7328     0.119      0.15      1.48     0.177      1.93       132     0.821
     0/2     99/7328     0.119     0.149      1.48     0.177      1.92        67     0.847
     0/2    100/7328     0.119     0.149      1.48     0.177      1.92       154     0.919
     0/2    101/7328     0.119     0.149      1.48     0.177      1.92       113     0.856
     0/2    102/7328     0.119     0.149      1.47     0.177      1.91        81     0.961
     0/2    103/7328     0.119     0.148      1.47     0.177      1.91        92     0.857
     0/2    104/7328     0.119     0.148      1.47     0.177      1.91        87     0.856
     0/2    105/7328     0.119     0.148      1.47     0.177      1.91        97     0.862
     0/2    106/7328     0.119     0.148      1.47     0.177      1.91       136     0.912
     0/2    107/7328     0.119     0.148      1.47     0.178      1.92       109     0.864
     0/2    108/7328     0.119     0.148      1.47     0.178      1.91       104     0.895
     0/2    109/7328     0.119     0.148      1.48     0.179      1.92       153     0.939
     0/2    110/7328     0.119     0.148      1.47     0.177      1.91        61     0.943
     0/2    111/7328     0.119     0.148      1.47     0.178      1.91       114     0.949
     0/2    112/7328     0.119     0.148      1.46     0.178      1.91       121     0.966
     0/2    113/7328     0.119     0.147      1.47     0.179      1.91       135     0.917
     0/2    114/7328     0.119     0.148      1.47     0.179      1.92       133     0.815
     0/2    115/7328     0.119     0.148      1.47     0.179      1.91        92     0.901
     0/2    116/7328     0.119     0.149      1.47     0.179      1.91        91     0.861
     0/2    117/7328     0.119     0.149      1.47     0.178      1.91        89      0.95
     0/2    118/7328     0.119     0.148      1.46     0.178      1.91        65     0.964
     0/2    119/7328     0.119     0.148      1.46     0.178      1.91        92      1.06
     0/2    120/7328     0.119     0.148      1.47     0.177      1.91       128     0.857
     0/2    121/7328     0.119     0.148      1.47     0.177      1.91       155     0.941
     0/2    122/7328     0.119     0.148      1.47     0.177      1.91       147     0.858
     0/2    123/7328     0.119     0.148      1.47     0.176      1.91       100     0.823
     0/2    124/7328     0.119     0.148      1.47     0.176      1.91        95     0.888
     0/2    125/7328     0.119     0.148      1.47     0.176      1.91        91     0.871
     0/2    126/7328     0.119     0.148      1.47     0.175      1.91       148      0.89
     0/2    127/7328     0.119     0.148      1.47     0.175      1.91       179     0.942
     0/2    128/7328     0.119     0.148      1.47     0.176      1.91        77     0.858
     0/2    129/7328     0.119     0.148      1.47     0.177      1.91       128     0.906
     0/2    130/7328     0.119     0.148      1.47     0.177      1.91       104     0.921
     0/2    131/7328     0.119     0.148      1.47     0.176      1.91        98      0.87
     0/2    132/7328     0.119     0.147      1.47     0.176      1.91        92     0.843
     0/2    133/7328     0.119     0.148      1.47     0.177      1.91       142     0.924
     0/2    134/7328     0.119     0.148      1.46     0.177      1.91        85     0.886
     0/2    135/7328     0.119     0.148      1.47     0.177      1.91       120     0.794
     0/2    136/7328     0.119     0.148      1.47     0.176      1.91       106     0.828
     0/2    137/7328     0.119     0.147      1.47     0.175      1.92       150      0.95
     0/2    138/7328     0.119     0.148      1.47     0.175      1.92       138     0.947
     0/2    139/7328     0.119     0.148      1.47     0.175      1.91        89     0.923
     0/2    140/7328     0.119     0.148      1.48     0.176      1.92       153     0.912
     0/2    141/7328     0.119     0.148      1.48     0.177      1.93       173     0.902
     0/2    142/7328     0.119     0.148      1.48     0.177      1.93       158     0.875
     0/2    143/7328     0.119     0.148      1.48     0.177      1.93       130     0.867
     0/2    144/7328     0.119     0.149      1.48     0.176      1.93       153     0.847
     0/2    145/7328     0.119     0.149      1.49     0.176      1.93       104     0.862
     0/2    146/7328     0.119     0.149      1.49     0.175      1.93        99     0.957
     0/2    147/7328     0.119     0.149      1.49     0.175      1.93       127      1.02
     0/2    148/7328     0.119     0.149      1.48     0.174      1.93        86     0.879
     0/2    149/7328     0.119     0.149      1.48     0.174      1.93       114     0.884
     0/2    150/7328     0.119     0.149      1.48     0.174      1.92        98     0.845
     0/2    151/7328     0.119     0.149      1.48     0.174      1.92       140     0.856
     0/2    152/7328     0.119     0.149      1.48     0.173      1.92       132     0.883
     0/2    153/7328     0.119     0.149      1.48     0.172      1.92        67     0.835
     0/2    154/7328     0.119     0.149      1.48     0.173      1.92       107     0.868
     0/2    155/7328     0.119     0.149      1.48     0.173      1.92       161     0.995
     0/2    156/7328     0.119     0.149      1.48     0.173      1.92       123     0.874
     0/2    157/7328     0.119     0.148      1.48     0.173      1.92       134      0.88
     0/2    158/7328     0.119     0.149      1.48     0.173      1.92       127     0.917
     0/2    159/7328     0.119     0.149      1.48     0.173      1.92       135      0.96
     0/2    160/7328     0.119     0.149      1.48     0.173      1.92       136     0.895
     0/2    161/7328     0.119     0.149      1.48     0.173      1.92       153      1.01
     0/2    162/7328     0.119     0.149      1.48     0.173      1.92        77     0.846
     0/2    163/7328     0.119     0.149      1.48     0.173      1.92       123     0.949
     0/2    164/7328     0.119     0.148      1.48     0.173      1.92        98     0.899
     0/2    165/7328     0.119     0.148      1.48     0.172      1.92       109     0.876
     0/2    166/7328     0.119     0.148      1.48     0.172      1.92        68     0.887
     0/2    167/7328     0.119     0.148      1.48     0.172      1.92       130     0.915
     0/2    168/7328     0.119     0.148      1.48     0.171      1.92       161     0.949
     0/2    169/7328     0.119     0.148      1.48     0.171      1.92       145     0.886
     0/2    170/7328     0.119     0.148      1.48      0.17      1.92        74       0.9
     0/2    171/7328     0.119     0.147      1.48      0.17      1.91        96     0.834
     0/2    172/7328     0.119     0.147      1.48      0.17      1.91        76     0.972
     0/2    173/7328     0.119     0.147      1.47      0.17      1.91        70     0.813
     0/2    174/7328     0.119     0.147      1.48      0.17      1.91       130     0.998
     0/2    175/7328     0.119     0.147      1.48      0.17      1.92       149     0.838
