Premature end of JPEG file
Premature end of JPEG file
Premature end of JPEG file
/gpfs/accounts/robosub_team_root/robosub_team/bdmanley/modelcompression-2019/venv/lib64/python3.6/site-packages/sklearn/externals/joblib/externals/cloudpickle/cloudpickle.py:47: DeprecationWarning: the imp module is deprecated in favour of importlib; see the module's documentation for alternative uses
  import imp
Loading dataloaders..
      Image      Total          P          R        mAP
       2048       5000      0.585      0.576      0.558      0.158s
       2064       5000      0.585      0.576      0.559      0.158s
       2080       5000      0.585      0.576      0.559      0.189s
       2096       5000      0.585      0.576      0.559      0.154s
       2112       5000      0.585      0.576      0.559      0.183s
       2128       5000      0.585      0.576      0.559      0.185s
       2144       5000      0.585      0.576      0.559      0.176s
       2160       5000      0.586      0.577      0.559      0.176s
       2176       5000      0.586      0.577       0.56      0.188s
       2192       5000      0.586      0.577       0.56      0.191s
       2208       5000      0.585      0.576      0.558      0.183s
       2224       5000      0.585      0.576      0.558      0.172s
       2240       5000      0.584      0.575      0.558      0.204s
       2256       5000      0.585      0.576      0.558      0.158s
       2272       5000      0.584      0.575      0.558      0.176s
       2288       5000      0.584      0.575      0.558      0.176s
       2304       5000      0.584      0.575      0.557      0.162s
       2320       5000      0.584      0.575      0.557       0.18s
       2336       5000      0.584      0.574      0.557      0.169s
       2352       5000      0.584      0.574      0.557      0.205s
       2368       5000      0.584      0.575      0.558      0.183s
       2384       5000      0.585      0.575      0.558      0.168s
       2400       5000      0.584      0.574      0.557      0.184s
       2416       5000      0.584      0.574      0.557        0.2s
       2432       5000      0.585      0.575      0.558      0.167s
       2448       5000      0.585      0.575      0.558      0.187s
       2464       5000      0.585      0.576      0.558      0.168s
       2480       5000      0.585      0.576      0.558      0.182s
       2496       5000      0.585      0.576      0.558      0.169s
       2512       5000      0.585      0.576      0.558      0.217s
       2528       5000      0.584      0.576      0.558       0.17s
       2544       5000      0.584      0.575      0.557      0.178s
       2560       5000      0.584      0.575      0.557      0.167s
       2576       5000      0.584      0.576      0.558      0.159s
       2592       5000      0.584      0.575      0.558      0.162s
       2608       5000      0.584      0.575      0.557      0.175s
       2624       5000      0.584      0.575      0.557      0.203s
       2640       5000      0.584      0.575      0.558      0.172s
       2656       5000      0.584      0.575      0.558      0.159s
       2672       5000      0.584      0.575      0.557      0.186s
       2688       5000      0.584      0.575      0.558      0.175s
       2704       5000      0.583      0.575      0.557        0.2s
       2720       5000      0.583      0.575      0.557      0.167s
       2736       5000      0.583      0.575      0.557      0.156s
       2752       5000      0.583      0.575      0.557      0.192s
       2768       5000      0.583      0.575      0.557      0.179s
       2784       5000      0.583      0.575      0.557        0.2s
       2800       5000      0.583      0.575      0.557      0.172s
       2816       5000      0.582      0.574      0.557      0.178s
       2832       5000      0.582      0.574      0.556      0.165s
       2848       5000      0.582      0.574      0.557      0.177s
       2864       5000      0.582      0.574      0.557      0.156s
       2880       5000      0.582      0.574      0.556      0.193s
       2896       5000      0.582      0.574      0.556      0.177s
       2912       5000      0.582      0.574      0.556      0.183s
       2928       5000      0.581      0.574      0.556      0.171s
       2944       5000      0.581      0.574      0.556      0.169s
       2960       5000      0.582      0.574      0.556      0.171s
       2976       5000      0.581      0.574      0.556       0.16s
       2992       5000      0.581      0.574      0.556      0.186s
       3008       5000       0.58      0.574      0.555      0.189s
       3024       5000       0.58      0.573      0.555      0.193s
       3040       5000       0.58      0.573      0.555      0.159s
       3056       5000       0.58      0.573      0.555      0.176s
       3072       5000       0.58      0.572      0.554      0.175s
       3088       5000      0.579      0.572      0.554      0.182s
       3104       5000       0.58      0.573      0.555      0.168s
       3120       5000       0.58      0.573      0.555      0.162s
       3136       5000       0.58      0.573      0.555      0.153s
       3152       5000       0.58      0.573      0.555      0.175s
       3168       5000      0.581      0.574      0.555      0.164s
       3184       5000      0.581      0.575      0.556      0.146s
       3200       5000      0.581      0.575      0.556      0.161s
       3216       5000      0.581      0.575      0.556      0.162s
       3232       5000      0.581      0.574      0.555      0.209s
       3248       5000      0.581      0.574      0.555      0.183s
       3264       5000       0.58      0.573      0.555      0.204s
       3280       5000       0.58      0.573      0.555      0.171s
       3296       5000       0.58      0.573      0.555      0.188s
       3312       5000       0.58      0.573      0.554      0.178s
       3328       5000       0.58      0.573      0.554      0.171s
       3344       5000       0.58      0.573      0.554      0.175s
       3360       5000       0.58      0.573      0.554      0.172s
       3376       5000       0.58      0.573      0.554      0.183s
       3392       5000       0.58      0.573      0.554      0.181s
       3408       5000       0.58      0.573      0.554      0.186s
       3424       5000       0.58      0.573      0.554      0.161s
       3440       5000       0.58      0.574      0.555      0.171s
       3456       5000       0.58      0.574      0.555      0.204s
       3472       5000       0.58      0.573      0.555      0.221s
       3488       5000       0.58      0.573      0.554      0.184s
       3504       5000      0.579      0.572      0.554      0.177s
       3520       5000      0.579      0.572      0.554       0.15s
       3536       5000      0.579      0.572      0.553      0.184s
       3552       5000      0.579      0.572      0.553      0.158s
       3568       5000      0.579      0.572      0.553      0.164s
       3584       5000      0.579      0.572      0.553      0.191s
       3600       5000      0.579      0.572      0.553      0.162s
       3616       5000      0.579      0.572      0.553      0.184s
       3632       5000       0.58      0.572      0.554      0.201s
       3648       5000       0.58      0.572      0.554      0.175s
       3664       5000      0.579      0.572      0.554      0.198s
       3680       5000       0.58      0.572      0.554      0.152s
       3696       5000       0.58      0.572      0.554      0.194s
       3712       5000       0.58      0.572      0.554       0.19s
       3728       5000       0.58      0.572      0.554      0.188s
       3744       5000       0.58      0.572      0.553      0.214s
       3760       5000      0.579      0.572      0.553      0.187s
       3776       5000       0.58      0.572      0.554      0.182s
       3792       5000       0.58      0.572      0.554      0.158s
       3808       5000       0.58      0.572      0.554      0.159s
       3824       5000      0.579      0.572      0.553      0.164s
       3840       5000       0.58      0.572      0.553      0.175s
       3856       5000       0.58      0.572      0.554       0.18s
       3872       5000      0.579      0.572      0.553      0.164s
       3888       5000      0.579      0.571      0.553      0.206s
       3904       5000      0.579      0.571      0.553      0.201s
       3920       5000      0.579      0.571      0.553      0.161s
       3936       5000      0.579      0.571      0.553      0.188s
       3952       5000      0.579      0.571      0.552      0.169s
       3968       5000      0.579      0.571      0.552      0.173s
       3984       5000      0.579       0.57      0.552      0.172s
       4000       5000      0.579       0.57      0.552      0.181s
       4016       5000      0.579       0.57      0.552       0.18s
       4032       5000      0.579       0.57      0.552        0.2s
       4048       5000      0.578       0.57      0.551      0.165s
       4064       5000      0.578      0.569      0.551      0.197s
       4080       5000      0.578      0.569      0.551      0.183s
       4096       5000      0.578       0.57      0.552      0.185s
       4112       5000      0.578      0.569      0.551      0.177s
       4128       5000      0.578      0.569      0.551      0.173s
       4144       5000      0.577      0.569      0.551      0.187s
       4160       5000      0.578      0.569      0.551      0.144s
       4176       5000      0.577      0.569       0.55      0.202s
       4192       5000      0.577      0.568       0.55      0.183s
       4208       5000      0.577      0.568       0.55      0.166s
       4224       5000      0.577      0.568       0.55      0.218s
       4240       5000      0.577      0.569      0.551      0.173s
       4256       5000      0.577      0.569      0.551      0.184s
       4272       5000      0.577      0.569      0.551      0.174s
       4288       5000      0.578      0.569      0.551      0.167s
       4304       5000      0.578      0.569      0.551      0.185s
       4320       5000      0.578      0.569      0.551      0.186s
       4336       5000      0.578       0.57      0.552      0.167s
       4352       5000      0.578       0.57      0.552      0.182s
       4368       5000      0.578       0.57      0.552      0.208s
       4384       5000      0.579       0.57      0.552      0.196s
       4400       5000      0.578       0.57      0.552      0.179s
       4416       5000      0.578       0.57      0.552      0.152s
       4432       5000      0.578       0.57      0.552       0.17s
       4448       5000      0.578      0.569      0.551      0.174s
       4464       5000      0.578      0.569      0.551      0.186s
       4480       5000      0.578      0.569      0.551       0.19s
       4496       5000      0.578       0.57      0.552      0.188s
       4512       5000      0.578       0.57      0.552      0.207s
       4528       5000      0.578      0.569      0.551       0.23s
       4544       5000      0.578      0.569      0.551      0.171s
       4560       5000      0.578       0.57      0.551      0.177s
       4576       5000      0.578       0.57      0.551      0.179s
       4592       5000      0.578      0.569      0.551      0.211s
