Premature end of JPEG file
Premature end of JPEG file
Premature end of JPEG file
/gpfs/accounts/robosub_team_root/robosub_team/bdmanley/modelcompression-2019/venv/lib64/python3.6/site-packages/sklearn/externals/joblib/externals/cloudpickle/cloudpickle.py:47: DeprecationWarning: the imp module is deprecated in favour of importlib; see the module's documentation for alternative uses
  import imp
Loading dataloaders..
      Image      Total          P          R        mAP
     0/2   6255/7328     0.112      0.13     0.961     0.121      1.32       183      1.02
     0/2   6256/7328     0.112      0.13     0.961     0.121      1.32       147     0.951
     0/2   6257/7328     0.112      0.13     0.961     0.121      1.32       151     0.856
     0/2   6258/7328     0.112      0.13     0.961     0.121      1.32       130     0.866
     0/2   6259/7328     0.112      0.13     0.961     0.121      1.32       125     0.947
     0/2   6260/7328     0.112      0.13     0.961     0.121      1.32        89     0.969
     0/2   6261/7328     0.112      0.13     0.961     0.121      1.32        67     0.822
     0/2   6262/7328     0.112      0.13     0.961     0.121      1.32        91     0.967
     0/2   6263/7328     0.112      0.13     0.961     0.121      1.32       109     0.895
     0/2   6264/7328     0.112      0.13     0.961     0.121      1.32        90         1
     0/2   6265/7328     0.112      0.13     0.961     0.121      1.32       101      0.98
     0/2   6266/7328     0.112      0.13     0.961     0.121      1.32       151     0.889
     0/2   6267/7328     0.112      0.13     0.961     0.121      1.32       103      1.12
     0/2   6268/7328     0.112      0.13     0.961     0.121      1.32       137     0.972
     0/2   6269/7328     0.112      0.13     0.961     0.121      1.32       129     0.998
     0/2   6270/7328     0.112      0.13     0.961     0.121      1.32        90     0.898
     0/2   6271/7328     0.112      0.13     0.961     0.121      1.32       129     0.881
     0/2   6272/7328     0.112      0.13     0.961     0.121      1.32       188     0.898
     0/2   6273/7328     0.112      0.13     0.961     0.121      1.32       119      1.12
     0/2   6274/7328     0.112      0.13     0.961     0.121      1.32       133     0.943
     0/2   6275/7328     0.112      0.13     0.961     0.121      1.32        88     0.942
     0/2   6276/7328     0.112      0.13     0.961     0.121      1.32       125     0.893
     0/2   6277/7328     0.112      0.13     0.961     0.121      1.32       164         1
     0/2   6278/7328     0.112      0.13     0.961     0.121      1.32       124     0.973
     0/2   6279/7328     0.112      0.13     0.961     0.121      1.32       103      1.08
     0/2   6280/7328     0.112      0.13     0.961     0.121      1.32        94     0.966
     0/2   6281/7328     0.112      0.13     0.961     0.121      1.32        80     0.939
     0/2   6282/7328     0.112      0.13     0.961     0.121      1.32        82     0.924
     0/2   6283/7328     0.112      0.13     0.961     0.121      1.32        68      1.03
     0/2   6284/7328     0.112      0.13     0.961     0.121      1.32        91     0.934
     0/2   6285/7328     0.112      0.13     0.961     0.121      1.32        89     0.895
     0/2   6286/7328     0.112      0.13     0.961     0.121      1.32        79     0.936
     0/2   6287/7328     0.112      0.13     0.961     0.121      1.32       187     0.959
     0/2   6288/7328     0.112      0.13     0.961     0.121      1.32       139      0.94
     0/2   6289/7328     0.112      0.13     0.961     0.121      1.32       120     0.849
     0/2   6290/7328     0.112      0.13     0.961      0.12      1.32       148     0.902
     0/2   6291/7328     0.112      0.13     0.961      0.12      1.32       132     0.907
     0/2   6292/7328     0.112      0.13     0.961      0.12      1.32       201     0.966
     0/2   6293/7328     0.112      0.13     0.961      0.12      1.32       164      1.04
     0/2   6294/7328     0.112      0.13     0.961      0.12      1.32        92      1.06
     0/2   6295/7328     0.112      0.13     0.961      0.12      1.32        77     0.949
     0/2   6296/7328     0.112      0.13     0.961      0.12      1.32       113     0.977
     0/2   6297/7328     0.112      0.13     0.961      0.12      1.32       163     0.939
     0/2   6298/7328     0.112      0.13     0.961      0.12      1.32        97     0.977
     0/2   6299/7328     0.112      0.13     0.961      0.12      1.32       104     0.955
     0/2   6300/7328     0.112      0.13     0.961      0.12      1.32        89      0.96
     0/2   6301/7328     0.112      0.13     0.961      0.12      1.32       135     0.982
     0/2   6302/7328     0.112      0.13     0.961      0.12      1.32       130      1.01
     0/2   6303/7328     0.112      0.13     0.961      0.12      1.32        64     0.918
     0/2   6304/7328     0.112      0.13     0.961      0.12      1.32       105         1
     0/2   6305/7328     0.112      0.13      0.96      0.12      1.32        89      0.97
     0/2   6306/7328     0.112      0.13      0.96      0.12      1.32        73      1.02
     0/2   6307/7328     0.112      0.13      0.96      0.12      1.32        87     0.995
     0/2   6308/7328     0.112      0.13      0.96      0.12      1.32       128         1
     0/2   6309/7328     0.112      0.13      0.96      0.12      1.32        86      1.05
     0/2   6310/7328     0.112      0.13      0.96      0.12      1.32       107     0.993
     0/2   6311/7328     0.112      0.13      0.96      0.12      1.32       101      0.87
     0/2   6312/7328     0.112      0.13      0.96      0.12      1.32       150     0.986
     0/2   6313/7328     0.112      0.13      0.96      0.12      1.32        97     0.889
     0/2   6314/7328     0.112      0.13      0.96      0.12      1.32       135      1.07
     0/2   6315/7328     0.112      0.13      0.96      0.12      1.32        85      1.01
     0/2   6316/7328     0.112      0.13      0.96      0.12      1.32       123         1
     0/2   6317/7328     0.112      0.13      0.96      0.12      1.32       136     0.823
     0/2   6318/7328     0.112      0.13      0.96      0.12      1.32       131     0.933
     0/2   6319/7328     0.112      0.13      0.96      0.12      1.32       111      1.01
     0/2   6320/7328     0.112      0.13      0.96      0.12      1.32       164     0.952
     0/2   6321/7328     0.112      0.13      0.96      0.12      1.32       152     0.908
     0/2   6322/7328     0.112      0.13      0.96      0.12      1.32       115      1.05
     0/2   6323/7328     0.112      0.13      0.96      0.12      1.32       136     0.967
     0/2   6324/7328     0.112      0.13      0.96      0.12      1.32        92      1.07
     0/2   6325/7328     0.112      0.13      0.96      0.12      1.32        61         1
     0/2   6326/7328     0.112      0.13      0.96      0.12      1.32        97      0.89
     0/2   6327/7328     0.112      0.13      0.96      0.12      1.32        99     0.859
     0/2   6328/7328     0.112      0.13      0.96      0.12      1.32       154      1.04
     0/2   6329/7328     0.112      0.13      0.96      0.12      1.32       117      1.18
     0/2   6330/7328     0.112      0.13      0.96      0.12      1.32        81     0.998
     0/2   6331/7328     0.112      0.13      0.96      0.12      1.32        89     0.999
     0/2   6332/7328     0.112      0.13      0.96      0.12      1.32        76     0.931
     0/2   6333/7328     0.112      0.13      0.96      0.12      1.32       104     0.896
     0/2   6334/7328     0.112      0.13      0.96      0.12      1.32       106     0.897
     0/2   6335/7328     0.112      0.13      0.96      0.12      1.32       129      1.09
     0/2   6336/7328     0.112      0.13      0.96      0.12      1.32       119      1.07
     0/2   6337/7328     0.112      0.13      0.96      0.12      1.32        90     0.991
     0/2   6338/7328     0.112      0.13      0.96      0.12      1.32       127     0.977
     0/2   6339/7328     0.112      0.13      0.96      0.12      1.32       173     0.928
     0/2   6340/7328     0.112      0.13      0.96      0.12      1.32       119      0.95
     0/2   6341/7328     0.112      0.13      0.96      0.12      1.32        90     0.994
     0/2   6342/7328     0.112      0.13      0.96      0.12      1.32       107     0.943
     0/2   6343/7328     0.112      0.13      0.96      0.12      1.32        90     0.929
     0/2   6344/7328     0.112      0.13      0.96      0.12      1.32       102     0.949
     0/2   6345/7328     0.112      0.13      0.96      0.12      1.32        86      1.06
     0/2   6346/7328     0.112      0.13      0.96      0.12      1.32       195     0.886
     0/2   6347/7328     0.112      0.13      0.96      0.12      1.32       104     0.974
     0/2   6348/7328     0.112      0.13      0.96      0.12      1.32       119      0.96
     0/2   6349/7328     0.112      0.13      0.96      0.12      1.32        94      0.95
     0/2   6350/7328     0.112      0.13      0.96      0.12      1.32       140      1.04
     0/2   6351/7328     0.112      0.13      0.96      0.12      1.32       142     0.929
     0/2   6352/7328     0.112      0.13      0.96      0.12      1.32       159     0.972
     0/2   6353/7328     0.112      0.13      0.96      0.12      1.32       122     0.908
     0/2   6354/7328     0.112      0.13      0.96      0.12      1.32       127      1.03
     0/2   6355/7328     0.112      0.13      0.96      0.12      1.32       137     0.981
     0/2   6356/7328     0.112      0.13      0.96      0.12      1.32       123     0.998
     0/2   6357/7328     0.112      0.13      0.96      0.12      1.32       101     0.941
     0/2   6358/7328     0.112      0.13      0.96      0.12      1.32        98     0.968
     0/2   6359/7328     0.112      0.13      0.96      0.12      1.32       109      1.02
     0/2   6360/7328     0.112      0.13      0.96      0.12      1.32       139      1.06
     0/2   6361/7328     0.112      0.13      0.96      0.12      1.32       111     0.955
     0/2   6362/7328     0.112      0.13      0.96      0.12      1.32       162     0.944
     0/2   6363/7328     0.112      0.13      0.96      0.12      1.32       105     0.923
     0/2   6364/7328     0.112      0.13      0.96      0.12      1.32       101     0.991
     0/2   6365/7328     0.112      0.13      0.96      0.12      1.32       137     0.985
     0/2   6366/7328     0.112      0.13      0.96      0.12      1.32        82      1.27
     0/2   6367/7328     0.112      0.13      0.96      0.12      1.32       128      0.92
     0/2   6368/7328     0.112      0.13      0.96      0.12      1.32       162      1.03
     0/2   6369/7328     0.112      0.13      0.96      0.12      1.32       152     0.933
     0/2   6370/7328     0.112      0.13      0.96      0.12      1.32       134     0.956
     0/2   6371/7328     0.112      0.13      0.96      0.12      1.32       148      1.02
     0/2   6372/7328     0.112      0.13      0.96      0.12      1.32        84     0.919
     0/2   6373/7328     0.112      0.13      0.96      0.12      1.32       136      0.93
     0/2   6374/7328     0.112      0.13      0.96      0.12      1.32       125      0.92
     0/2   6375/7328     0.112      0.13      0.96      0.12      1.32        55      1.18
     0/2   6376/7328     0.112      0.13      0.96      0.12      1.32       115     0.952
     0/2   6377/7328     0.112      0.13      0.96      0.12      1.32        89     0.923
     0/2   6378/7328     0.112      0.13     0.959      0.12      1.32        81     0.895
     0/2   6379/7328     0.112      0.13     0.959      0.12      1.32       115         1
     0/2   6380/7328     0.112      0.13     0.959      0.12      1.32       111       1.2
     0/2   6381/7328     0.112      0.13     0.959      0.12      1.32        94     0.993
     0/2   6382/7328     0.112      0.13     0.959      0.12      1.32       164     0.986
     0/2   6383/7328     0.112      0.13     0.959      0.12      1.32       109      1.11
     0/2   6384/7328     0.112      0.13      0.96      0.12      1.32       164     0.986
     0/2   6385/7328     0.112      0.13      0.96      0.12      1.32       176      1.03
     0/2   6386/7328     0.112      0.13      0.96      0.12      1.32       107     0.957
     0/2   6387/7328     0.112      0.13      0.96      0.12      1.32       146     0.902
     0/2   6388/7328     0.112      0.13      0.96      0.12      1.32       150     0.976
     0/2   6389/7328     0.112      0.13      0.96      0.12      1.32       129     0.926
     0/2   6390/7328     0.112      0.13     0.959      0.12      1.32        98     0.957
     0/2   6391/7328     0.112      0.13      0.96      0.12      1.32       152     0.966
     0/2   6392/7328     0.112      0.13     0.959      0.12      1.32        97      1.13
     0/2   6393/7328     0.112      0.13     0.959      0.12      1.32       112     0.908
     0/2   6394/7328     0.112      0.13     0.959      0.12      1.32       109         1
     0/2   6395/7328     0.112      0.13     0.959      0.12      1.32        91     0.899
     0/2   6396/7328     0.112      0.13     0.959      0.12      1.32       171     0.945
     0/2   6397/7328     0.112      0.13     0.959      0.12      1.32       102         1
     0/2   6398/7328     0.112      0.13     0.959      0.12      1.32       122     0.973
     0/2   6399/7328     0.112      0.13     0.959      0.12      1.32        96     0.991
     0/2   6400/7328     0.112      0.13     0.959      0.12      1.32       102     0.945
     0/2   6401/7328     0.112      0.13     0.959      0.12      1.32       129     0.974
     0/2   6402/7328     0.112      0.13      0.96      0.12      1.32       234     0.921
     0/2   6403/7328     0.112      0.13     0.959      0.12      1.32       109     0.945
     0/2   6404/7328     0.112      0.13     0.959      0.12      1.32       106     0.893
     0/2   6405/7328     0.112      0.13     0.959      0.12      1.32       121      0.94
     0/2   6406/7328     0.112      0.13     0.959      0.12      1.32       130     0.918
     0/2   6407/7328     0.112      0.13      0.96      0.12      1.32       141     0.999
     0/2   6408/7328     0.112      0.13      0.96      0.12      1.32       160      0.96
     0/2   6409/7328     0.112      0.13      0.96      0.12      1.32       136     0.977
     0/2   6410/7328     0.112      0.13      0.96      0.12      1.32       170      1.09
     0/2   6411/7328     0.112      0.13      0.96      0.12      1.32        65     0.943
     0/2   6412/7328     0.112      0.13      0.96      0.12      1.32       138      1.02
     0/2   6413/7328     0.112      0.13      0.96      0.12      1.32       125     0.982
     0/2   6414/7328     0.112      0.13      0.96      0.12      1.32       164      0.99
     0/2   6415/7328     0.112      0.13      0.96      0.12      1.32       104     0.988
     0/2   6416/7328     0.112      0.13      0.96      0.12      1.32        95     0.948
     0/2   6417/7328     0.112      0.13      0.96      0.12      1.32       172      1.06
     0/2   6418/7328     0.112      0.13     0.959      0.12      1.32        73     0.957
     0/2   6419/7328     0.112      0.13     0.959      0.12      1.32        79      1.08
     0/2   6420/7328     0.112      0.13     0.959      0.12      1.32       138     0.881
     0/2   6421/7328     0.112      0.13     0.959      0.12      1.32       133     0.912
     0/2   6422/7328     0.112      0.13     0.959      0.12      1.32       124     0.944
     0/2   6423/7328     0.112      0.13     0.959      0.12      1.32       131     0.915
     0/2   6424/7328     0.112      0.13     0.959      0.12      1.32       117     0.974
     0/2   6425/7328     0.112      0.13     0.959      0.12      1.32        92     0.973
     0/2   6426/7328     0.112      0.13     0.959      0.12      1.32        81     0.929
     0/2   6427/7328     0.112      0.13     0.959      0.12      1.32        69     0.873
     0/2   6428/7328     0.112      0.13     0.959      0.12      1.32        98     0.945
     0/2   6429/7328     0.112      0.13     0.959      0.12      1.32        88      0.93
     0/2   6430/7328     0.112      0.13     0.959      0.12      1.32        81      1.01
     0/2   6431/7328     0.112      0.13     0.959      0.12      1.32       154     0.916
     0/2   6432/7328     0.112      0.13     0.959      0.12      1.32        95     0.882
     0/2   6433/7328     0.112      0.13     0.959      0.12      1.32       160     0.949
     0/2   6434/7328     0.112      0.13     0.959      0.12      1.32       122     0.897
     0/2   6435/7328     0.112      0.13     0.959      0.12      1.32        70     0.955
     0/2   6436/7328     0.112      0.13     0.959      0.12      1.32       123      0.97
     0/2   6437/7328     0.112      0.13     0.959      0.12      1.32        88     0.974
     0/2   6438/7328     0.112      0.13     0.959      0.12      1.32       114     0.905
     0/2   6439/7328     0.112      0.13     0.959      0.12      1.32       112     0.928
     0/2   6440/7328     0.112      0.13     0.959      0.12      1.32        95     0.979
     0/2   6441/7328     0.112      0.13     0.959      0.12      1.32        71      1.06
     0/2   6442/7328     0.112      0.13     0.959      0.12      1.32       106      1.18
     0/2   6443/7328     0.112      0.13     0.959      0.12      1.32        87      1.02
     0/2   6444/7328     0.112      0.13     0.959      0.12      1.32       142         1
     0/2   6445/7328     0.112      0.13     0.959      0.12      1.32        77         1
     0/2   6446/7328     0.112      0.13     0.959      0.12      1.32       106     0.879
     0/2   6447/7328     0.112      0.13     0.959      0.12      1.32       159     0.983
     0/2   6448/7328     0.112      0.13     0.959      0.12      1.32       107     0.976
     0/2   6449/7328     0.112      0.13     0.959      0.12      1.32       110     0.964
     0/2   6450/7328     0.112      0.13     0.959      0.12      1.32       163     0.915
     0/2   6451/7328     0.112      0.13     0.959      0.12      1.32       133     0.903
     0/2   6452/7328     0.112      0.13     0.959      0.12      1.32       159      1.24
     0/2   6453/7328     0.112      0.13     0.959      0.12      1.32       130      1.07
     0/2   6454/7328     0.112      0.13     0.959      0.12      1.32       143     0.963
     0/2   6455/7328     0.112      0.13     0.959      0.12      1.32       114      1.08
     0/2   6456/7328     0.112      0.13     0.959      0.12      1.32        62         1
     0/2   6457/7328     0.112      0.13     0.959      0.12      1.32       152     0.884
     0/2   6458/7328     0.112      0.13     0.959      0.12      1.32       134      1.14
     0/2   6459/7328     0.112      0.13     0.959      0.12      1.32       139     0.985
     0/2   6460/7328     0.112      0.13     0.959      0.12      1.32        86      1.05
     0/2   6461/7328     0.112      0.13     0.959      0.12      1.32        89      1.13
     0/2   6462/7328     0.112      0.13     0.959      0.12      1.32       180      1.02
     0/2   6463/7328     0.112      0.13     0.959      0.12      1.32       174     0.963
     0/2   6464/7328     0.112      0.13     0.959      0.12      1.32       115      1.18
     0/2   6465/7328     0.112      0.13     0.959      0.12      1.32       131      1.01
     0/2   6466/7328     0.112      0.13     0.959      0.12      1.32        92     0.976
     0/2   6467/7328     0.112      0.13     0.959      0.12      1.32        82     0.982
     0/2   6468/7328     0.112      0.13     0.959      0.12      1.32        90      0.93
     0/2   6469/7328     0.112      0.13     0.959      0.12      1.32       127      1.08
     0/2   6470/7328     0.112      0.13     0.959      0.12      1.32       151      0.99
     0/2   6471/7328     0.112      0.13     0.959      0.12      1.32        98     0.952
     0/2   6472/7328     0.112      0.13     0.958      0.12      1.32        87       1.1
     0/2   6473/7328     0.112      0.13     0.959      0.12      1.32       154      0.99
     0/2   6474/7328     0.112      0.13     0.959      0.12      1.32       180     0.927
     0/2   6475/7328     0.112      0.13     0.959      0.12      1.32       128      1.01
     0/2   6476/7328     0.112      0.13     0.959      0.12      1.32        92      1.01
     0/2   6477/7328     0.112      0.13     0.958      0.12      1.32        84      1.04
     0/2   6478/7328     0.112      0.13     0.958      0.12      1.32       106     0.953
     0/2   6479/7328     0.112      0.13     0.958      0.12      1.32       158      1.09
     0/2   6480/7328     0.112      0.13     0.958      0.12      1.32       109     0.967
     0/2   6481/7328     0.112      0.13     0.958      0.12      1.32       140      1.04
     0/2   6482/7328     0.112      0.13     0.958      0.12      1.32       110      1.02
     0/2   6483/7328     0.112      0.13     0.958      0.12      1.32       114      1.04
     0/2   6484/7328     0.112      0.13     0.958      0.12      1.32       118     0.958
     0/2   6485/7328     0.112      0.13     0.958      0.12      1.32        95     0.973
     0/2   6486/7328     0.112      0.13     0.958      0.12      1.32        86      1.09
     0/2   6487/7328     0.112      0.13     0.958      0.12      1.32       139     0.927
     0/2   6488/7328     0.112      0.13     0.958      0.12      1.32       112     0.922
     0/2   6489/7328     0.112      0.13     0.958      0.12      1.32        96     0.946
     0/2   6490/7328     0.112      0.13     0.958      0.12      1.32       154      1.03
     0/2   6491/7328     0.112      0.13     0.958      0.12      1.32       133      1.03
     0/2   6492/7328     0.112      0.13     0.958      0.12      1.32       141      0.92
     0/2   6493/7328     0.112      0.13     0.958      0.12      1.32       129      1.04
     0/2   6494/7328     0.112      0.13     0.958      0.12      1.32        88     0.978
     0/2   6495/7328     0.112      0.13     0.958      0.12      1.32       154     0.981
     0/2   6496/7328     0.112      0.13     0.958      0.12      1.32       132      1.03
     0/2   6497/7328     0.112      0.13     0.958      0.12      1.32        82      1.03
     0/2   6498/7328     0.112      0.13     0.958      0.12      1.32       126      0.98
     0/2   6499/7328     0.112      0.13     0.958      0.12      1.32       115     0.863
     0/2   6500/7328     0.112      0.13     0.958      0.12      1.32        72     0.974
     0/2   6501/7328     0.112      0.13     0.958      0.12      1.32       117         1
     0/2   6502/7328     0.112      0.13     0.958      0.12      1.32       151      1.04
     0/2   6503/7328     0.112      0.13     0.958      0.12      1.32       162     0.952
     0/2   6504/7328     0.112      0.13     0.958      0.12      1.32       147      1.02
     0/2   6505/7328     0.112      0.13     0.958      0.12      1.32       175     0.991
     0/2   6506/7328     0.112      0.13     0.958      0.12      1.32        95      1.02
     0/2   6507/7328     0.112      0.13     0.958      0.12      1.32        87      1.09
     0/2   6508/7328     0.112      0.13     0.958      0.12      1.32       124     0.991
     0/2   6509/7328     0.112      0.13     0.958      0.12      1.32       107      1.08
     0/2   6510/7328     0.112      0.13     0.958      0.12      1.32       187      1.32
     0/2   6511/7328     0.112      0.13     0.958      0.12      1.32       119     0.962
     0/2   6512/7328     0.112      0.13     0.958      0.12      1.32       153      1.04
     0/2   6513/7328     0.112      0.13     0.958      0.12      1.32       155     0.971
     0/2   6514/7328     0.112      0.13     0.958      0.12      1.32        89     0.937
     0/2   6515/7328     0.112      0.13     0.958      0.12      1.32        77      1.16
     0/2   6516/7328     0.112      0.13     0.958      0.12      1.32       136      1.01
     0/2   6517/7328     0.112      0.13     0.958      0.12      1.32       177      1.05
     0/2   6518/7328     0.112      0.13     0.958      0.12      1.32       142     0.945
     0/2   6519/7328     0.112      0.13     0.958      0.12      1.32       130      1.02
     0/2   6520/7328     0.112      0.13     0.958      0.12      1.32        62      1.02
     0/2   6521/7328     0.112      0.13     0.958      0.12      1.32        88      1.04
     0/2   6522/7328     0.112      0.13     0.958      0.12      1.32       130       1.3
     0/2   6523/7328     0.112      0.13     0.958      0.12      1.32        90     0.974
     0/2   6524/7328     0.112      0.13     0.958      0.12      1.32       174      1.08
     0/2   6525/7328     0.112      0.13     0.958      0.12      1.32       122      0.97
     0/2   6526/7328     0.112      0.13     0.958      0.12      1.32       157      1.26
     0/2   6527/7328     0.112      0.13     0.958      0.12      1.32        83      1.18
     0/2   6528/7328     0.112      0.13     0.958      0.12      1.32       135     0.996
     0/2   6529/7328     0.112      0.13     0.958      0.12      1.32       139     0.926
     0/2   6530/7328     0.112      0.13     0.958      0.12      1.32       157      1.16
     0/2   6531/7328     0.112      0.13     0.958      0.12      1.32        92      1.04
     0/2   6532/7328     0.112      0.13     0.958      0.12      1.32        61      1.02
     0/2   6533/7328     0.112      0.13     0.958      0.12      1.32       123      1.14
     0/2   6534/7328     0.112      0.13     0.958      0.12      1.32       130     0.982
     0/2   6535/7328     0.112      0.13     0.958      0.12      1.32        97     0.926
     0/2   6536/7328     0.112      0.13     0.958      0.12      1.32        97     0.979
     0/2   6537/7328     0.112      0.13     0.958      0.12      1.32       141     0.966
     0/2   6538/7328     0.112      0.13     0.958      0.12      1.32       118         1
     0/2   6539/7328     0.112      0.13     0.958      0.12      1.32       132      1.09
     0/2   6540/7328     0.112      0.13     0.958      0.12      1.32       126      1.12
     0/2   6541/7328     0.112      0.13     0.958      0.12      1.32        95      1.03
     0/2   6542/7328     0.112      0.13     0.958      0.12      1.32        90      1.03
     0/2   6543/7328     0.112      0.13     0.958      0.12      1.32       138     0.994
     0/2   6544/7328     0.112      0.13     0.958      0.12      1.32       137      1.13
     0/2   6545/7328     0.112      0.13     0.958      0.12      1.32       117      1.17
     0/2   6546/7328     0.112      0.13     0.958      0.12      1.32       144      1.15
     0/2   6547/7328     0.112      0.13     0.958      0.12      1.32       142      1.04
     0/2   6548/7328     0.112      0.13     0.958      0.12      1.32       105      1.16
     0/2   6549/7328     0.112      0.13     0.958      0.12      1.32       141      1.18
     0/2   6550/7328     0.112      0.13     0.958      0.12      1.32       158       1.1
     0/2   6551/7328     0.112      0.13     0.958      0.12      1.32       171       1.1
     0/2   6552/7328     0.112      0.13     0.958      0.12      1.32       114      1.02
     0/2   6553/7328     0.112      0.13     0.958      0.12      1.32       120     0.996
     0/2   6554/7328     0.112      0.13     0.958      0.12      1.32       150      0.97
     0/2   6555/7328     0.112      0.13     0.958      0.12      1.32       103      1.01
     0/2   6556/7328     0.112      0.13     0.958      0.12      1.32       147      1.04
     0/2   6557/7328     0.112      0.13     0.958      0.12      1.32       131      1.07
     0/2   6558/7328     0.112      0.13     0.958      0.12      1.32       100      1.02
     0/2   6559/7328     0.112      0.13     0.958      0.12      1.32       137     0.979
     0/2   6560/7328     0.112      0.13     0.958      0.12      1.32        94      1.04
     0/2   6561/7328     0.112      0.13     0.958      0.12      1.32       131     0.995
     0/2   6562/7328     0.112      0.13     0.958      0.12      1.32       121      1.03
     0/2   6563/7328     0.112      0.13     0.958      0.12      1.32        65     0.924
     0/2   6564/7328     0.112      0.13     0.958      0.12      1.32        86     0.978
     0/2   6565/7328     0.112      0.13     0.958      0.12      1.32        85     0.957
     0/2   6566/7328     0.112      0.13     0.958      0.12      1.32       123         1
     0/2   6567/7328     0.112      0.13     0.958      0.12      1.32       138      1.09
     0/2   6568/7328     0.112      0.13     0.958      0.12      1.32       124       1.1
     0/2   6569/7328     0.112      0.13     0.957      0.12      1.32        82     0.987
     0/2   6570/7328     0.112      0.13     0.958      0.12      1.32       128      1.04
     0/2   6571/7328     0.112      0.13     0.957      0.12      1.32       135     0.983
     0/2   6572/7328     0.112      0.13     0.957      0.12      1.32       147      0.91
     0/2   6573/7328     0.112      0.13     0.957      0.12      1.32        82     0.999
     0/2   6574/7328     0.112      0.13     0.957      0.12      1.32       124     0.932
     0/2   6575/7328     0.112      0.13     0.957      0.12      1.32        96      1.19
     0/2   6576/7328     0.112      0.13     0.957      0.12      1.32       104         1
     0/2   6577/7328     0.112      0.13     0.957      0.12      1.32       114      1.01
     0/2   6578/7328     0.112      0.13     0.957      0.12      1.32        72      1.26
     0/2   6579/7328     0.112      0.13     0.957      0.12      1.32       111      1.38
     0/2   6580/7328     0.112      0.13     0.957      0.12      1.32        85      1.12
     0/2   6581/7328     0.112      0.13     0.957      0.12      1.32        63      1.25
     0/2   6582/7328     0.112      0.13     0.957      0.12      1.32        67      1.39
     0/2   6583/7328     0.112      0.13     0.957      0.12      1.32       104      1.33
     0/2   6584/7328     0.112      0.13     0.957      0.12      1.32       133       1.2
     0/2   6585/7328     0.112      0.13     0.957      0.12      1.32       182      1.16
     0/2   6586/7328     0.112      0.13     0.957      0.12      1.32       154      1.05
     0/2   6587/7328     0.112      0.13     0.957      0.12      1.32        70      1.42
     0/2   6588/7328     0.112      0.13     0.957      0.12      1.32       115       1.2
     0/2   6589/7328     0.112      0.13     0.957      0.12      1.32       150      1.61
     0/2   6590/7328     0.112      0.13     0.957      0.12      1.32       133      1.35
     0/2   6591/7328     0.112      0.13     0.957      0.12      1.32       135      1.17
     0/2   6592/7328     0.112      0.13     0.957      0.12      1.32       148       1.1
     0/2   6593/7328     0.112      0.13     0.957      0.12      1.32        97      1.15
     0/2   6594/7328     0.112      0.13     0.957      0.12      1.32       171      1.73
     0/2   6595/7328     0.112      0.13     0.957      0.12      1.32       141      1.35
     0/2   6596/7328     0.112      0.13     0.957      0.12      1.32       107      1.15
     0/2   6597/7328     0.112      0.13     0.957      0.12      1.32        58      1.47
     0/2   6598/7328     0.112      0.13     0.957      0.12      1.32       126      1.62
     0/2   6599/7328     0.112      0.13     0.957      0.12      1.32       128      1.12
     0/2   6600/7328     0.112      0.13     0.957      0.12      1.32       158      1.21
     0/2   6601/7328     0.112      0.13     0.957      0.12      1.32       119      1.21
     0/2   6602/7328     0.112      0.13     0.957      0.12      1.32       164      1.13
     0/2   6603/7328     0.112      0.13     0.957      0.12      1.32       115      1.03
     0/2   6604/7328     0.112      0.13     0.957      0.12      1.32       105      1.31
     0/2   6605/7328     0.112      0.13     0.957      0.12      1.32       114      1.15
     0/2   6606/7328     0.112      0.13     0.957      0.12      1.32       102      1.15
     0/2   6607/7328     0.112      0.13     0.957      0.12      1.32       103      1.22
     0/2   6608/7328     0.112      0.13     0.957      0.12      1.32        63     0.958
     0/2   6609/7328     0.112      0.13     0.957      0.12      1.32       106      1.28
     0/2   6610/7328     0.112      0.13     0.957      0.12      1.32        83      1.36
     0/2   6611/7328     0.112      0.13     0.957      0.12      1.32       168      1.47
     0/2   6612/7328     0.112      0.13     0.957      0.12      1.32       116       1.3
     0/2   6613/7328     0.112      0.13     0.957      0.12      1.32       115      1.45
     0/2   6614/7328     0.112      0.13     0.957      0.12      1.32       109      1.11
     0/2   6615/7328     0.112      0.13     0.957      0.12      1.32       120       1.2
     0/2   6616/7328     0.112      0.13     0.957      0.12      1.32       126      1.24
     0/2   6617/7328     0.112      0.13     0.957      0.12      1.32       125      1.07
     0/2   6618/7328     0.112      0.13     0.957      0.12      1.32       138      1.43
     0/2   6619/7328     0.112      0.13     0.957      0.12      1.32       106      1.16
     0/2   6620/7328     0.112      0.13     0.957      0.12      1.32       113      1.22
     0/2   6621/7328     0.112      0.13     0.957      0.12      1.32       120      1.22
     0/2   6622/7328     0.112      0.13     0.957      0.12      1.32       147      1.42
     0/2   6623/7328     0.112      0.13     0.957      0.12      1.32        95      1.32
     0/2   6624/7328     0.112      0.13     0.957      0.12      1.32        99      1.14
     0/2   6625/7328     0.112      0.13     0.957      0.12      1.32       124         1
     0/2   6626/7328     0.112      0.13     0.957      0.12      1.32       100     0.923
     0/2   6627/7328     0.112      0.13     0.957      0.12      1.32       115     0.999
     0/2   6628/7328     0.112      0.13     0.957      0.12      1.32       185     0.913
