Premature end of JPEG file
Premature end of JPEG file
Premature end of JPEG file
Loading dataloaders..
      Image      Total          P          R        mAP
       2144       5000      0.633      0.605      0.595      0.171s
       2160       5000      0.634      0.605      0.596      0.168s
       2176       5000      0.634      0.606      0.596      0.183s
       2192       5000      0.634      0.606      0.596      0.194s
       2208       5000      0.633      0.605      0.595      0.173s
       2224       5000      0.633      0.605      0.595       0.17s
       2240       5000      0.632      0.605      0.595      0.197s
       2256       5000      0.632      0.605      0.595      0.159s
       2272       5000      0.632      0.605      0.595      0.179s
       2288       5000      0.632      0.605      0.595      0.171s
       2304       5000      0.632      0.604      0.595      0.159s
       2320       5000      0.631      0.604      0.595       0.17s
       2336       5000      0.631      0.604      0.595      0.162s
       2352       5000      0.631      0.604      0.595      0.189s
       2368       5000      0.632      0.604      0.595      0.175s
       2384       5000      0.632      0.605      0.596      0.166s
       2400       5000      0.632      0.604      0.595      0.176s
       2416       5000      0.632      0.604      0.595      0.196s
       2432       5000      0.633      0.605      0.595      0.162s
       2448       5000      0.633      0.605      0.596      0.181s
       2464       5000      0.633      0.605      0.596      0.165s
       2480       5000      0.633      0.605      0.596      0.187s
       2496       5000      0.633      0.605      0.596      0.163s
       2512       5000      0.633      0.605      0.596      0.203s
       2528       5000      0.633      0.605      0.596      0.172s
       2544       5000      0.632      0.605      0.595      0.178s
       2560       5000      0.633      0.605      0.596      0.162s
       2576       5000      0.633      0.605      0.595      0.155s
       2592       5000      0.633      0.605      0.596      0.162s
       2608       5000      0.632      0.605      0.595      0.171s
       2624       5000      0.632      0.605      0.595      0.192s
       2640       5000      0.633      0.605      0.596      0.186s
       2656       5000      0.632      0.605      0.595      0.155s
       2672       5000      0.632      0.605      0.596      0.174s
       2688       5000      0.632      0.605      0.596      0.177s
       2704       5000      0.632      0.605      0.596      0.191s
       2720       5000      0.632      0.605      0.596      0.163s
       2736       5000      0.632      0.606      0.596      0.155s
       2752       5000      0.632      0.605      0.596       0.19s
       2768       5000      0.632      0.606      0.596      0.186s
       2784       5000      0.632      0.605      0.596      0.186s
       2800       5000      0.632      0.606      0.596      0.172s
       2816       5000      0.632      0.606      0.596      0.171s
       2832       5000      0.633      0.606      0.596      0.163s
       2848       5000      0.632      0.606      0.596      0.177s
       2864       5000      0.632      0.605      0.596      0.159s
       2880       5000      0.632      0.605      0.596      0.186s
       2896       5000      0.632      0.605      0.596       0.17s
       2912       5000      0.632      0.605      0.596      0.181s
       2928       5000      0.632      0.605      0.596      0.161s
       2944       5000      0.632      0.605      0.596      0.166s
       2960       5000      0.632      0.606      0.596      0.169s
       2976       5000      0.632      0.606      0.596      0.161s
       2992       5000      0.632      0.606      0.596      0.182s
       3008       5000      0.631      0.605      0.596      0.189s
       3024       5000      0.631      0.605      0.596      0.178s
       3040       5000      0.631      0.605      0.595      0.163s
       3056       5000      0.631      0.605      0.595      0.169s
       3072       5000      0.631      0.604      0.595      0.169s
       3088       5000      0.631      0.604      0.595      0.178s
       3104       5000      0.631      0.605      0.595      0.166s
       3120       5000      0.631      0.605      0.595      0.162s
       3136       5000      0.632      0.605      0.596      0.151s
       3152       5000      0.632      0.605      0.595      0.184s
       3168       5000      0.632      0.606      0.596      0.161s
       3184       5000      0.632      0.605      0.596      0.151s
       3200       5000      0.632      0.606      0.596      0.156s
       3216       5000      0.632      0.605      0.596       0.16s
       3232       5000      0.632      0.605      0.596      0.201s
       3248       5000      0.632      0.605      0.595      0.185s
       3264       5000      0.632      0.605      0.595      0.208s
       3280       5000      0.631      0.604      0.595      0.164s
       3296       5000      0.631      0.604      0.595      0.179s
       3312       5000      0.632      0.605      0.595      0.174s
       3328       5000      0.632      0.605      0.595      0.167s
       3344       5000      0.631      0.605      0.595      0.169s
       3360       5000      0.631      0.604      0.595      0.176s
       3376       5000      0.631      0.604      0.594      0.169s
       3392       5000      0.631      0.604      0.594      0.171s
       3408       5000      0.631      0.604      0.595      0.177s
       3424       5000      0.632      0.605      0.595      0.156s
       3440       5000      0.632      0.605      0.596       0.17s
       3456       5000      0.632      0.605      0.595      0.191s
       3472       5000      0.631      0.604      0.595      0.217s
       3488       5000      0.631      0.604      0.594      0.181s
       3504       5000      0.631      0.603      0.594      0.172s
       3520       5000      0.631      0.604      0.594      0.149s
       3536       5000       0.63      0.603      0.594      0.182s
       3552       5000       0.63      0.603      0.594      0.158s
       3568       5000      0.631      0.604      0.594      0.169s
       3584       5000       0.63      0.603      0.594      0.185s
       3600       5000      0.631      0.603      0.594      0.166s
       3616       5000      0.631      0.603      0.594      0.177s
       3632       5000      0.631      0.604      0.594      0.187s
       3648       5000      0.631      0.603      0.594      0.169s
       3664       5000      0.631      0.603      0.593      0.183s
       3680       5000      0.631      0.603      0.593       0.15s
       3696       5000      0.631      0.603      0.593       0.19s
       3712       5000      0.631      0.603      0.593      0.189s
       3728       5000      0.631      0.603      0.593       0.19s
       3744       5000       0.63      0.602      0.593      0.201s
       3760       5000       0.63      0.602      0.592      0.177s
